Case_ID,Offender_Age,Offender_Gender,Offender_Race,Crime_Type,Crime_Location,Prior_Convictions,Risk_Score,Arrest_Made,Bail_Granted,Case_Outcome
C1072,21,Male,Asian,Assault,South Gary,9,6,No,Yes,Acquitted
C1073,46,Other,Asian,Vandalism,Shaneville,5,9,No,Yes,Acquitted
C1074,35,Female,Black,Theft,East George,5,3,No,No,Plea Bargain
C1075,43,Male,Hispanic,Assault,Kathleenmouth,3,6,No,No,Acquitted
C1076,61,Female,Hispanic,Drug Offense,South Davidton,5,3,No,No,Dismissed
C1077,51,Other,Black,Fraud,Susanburgh,9,3,Yes,No,Acquitted
C1078,27,Other,Hispanic,Vandalism,Ortizfort,3,4,No,No,Dismissed
C1079,53,Other,White,Drug Offense,Port Kayla,7,9,No,Yes,Acquitted
C1080,31,Female,Hispanic,Assault,South Heatherville,8,8,No,Yes,Dismissed
C1081,48,Female,Black,Vandalism,South Brenda,1,1,Yes,No,Plea Bargain
C1082,65,Male,Hispanic,Theft,South Susanton,6,1,No,No,Acquitted
C1083,32,Other,Other,Cybercrime,North Benjaminport,8,7,No,No,Dismissed
C1084,25,Female,Asian,Fraud,North Jennifer,8,3,Yes,Yes,Convicted
C1085,31,Other,White,Assault,Stephaniemouth,4,7,Yes,No,Convicted
C1086,40,Other,Other,Fraud,Jeremyside,0,9,Yes,No,Convicted
C1087,57,Male,Other,Vandalism,West Michael,5,3,Yes,No,Acquitted
C1088,38,Male,Black,Cybercrime,Zacharymouth,7,3,No,Yes,Dismissed
C1089,33,Male,Asian,Drug Offense,Port Gregoryhaven,0,2,No,No,Convicted
C1090,62,Male,Asian,Fraud,East Wesley,1,10,No,Yes,Acquitted
C1091,35,Other,White,Theft,Lake Leeburgh,0,1,Yes,No,Dismissed
C1092,64,Male,Black,Assault,Dunnmouth,4,9,No,No,Convicted
C1093,41,Male,White,Theft,Harringtonville,1,6,Yes,Yes,Convicted
C1094,43,Male,Hispanic,Fraud,East Thomas,9,6,Yes,Yes,Acquitted
C1095,42,Male,Other,Cybercrime,Rodriguezberg,9,8,No,No,Dismissed
C1096,62,Other,White,Drug Offense,West Josephfort,3,5,Yes,No,Acquitted
C1097,58,Male,Other,Drug Offense,East Kathryntown,0,9,Yes,Yes,Convicted
C1098,46,Other,Black,Theft,Charlesmouth,6,5,No,Yes,Acquitted
C1099,32,Female,Hispanic,Vandalism,Jessicastad,7,2,No,No,Acquitted
C1100,62,Other,Black,Vandalism,Thompsonstad,4,6,Yes,Yes,Convicted
C1101,18,Other,Hispanic,Cybercrime,Port Rachelberg,1,9,No,Yes,Convicted
C1102,42,Male,Hispanic,Drug Offense,Stephentown,7,3,No,No,Dismissed
C1103,24,Female,Other,Theft,Lake Jessicastad,0,10,Yes,No,Dismissed
C1104,26,Female,Black,Theft,Patrickfort,6,4,Yes,No,Convicted
C1105,41,Female,Black,Theft,Cummingsfurt,0,10,No,Yes,Convicted
C1106,18,Female,White,Fraud,Ruizview,5,8,No,No,Plea Bargain
C1107,61,Other,Black,Cybercrime,Robinsontown,5,6,Yes,No,Plea Bargain
C1108,25,Female,White,Vandalism,West Jasonmouth,4,7,No,Yes,Dismissed
C1109,41,Other,Asian,Vandalism,West Jennifermouth,1,7,Yes,No,Acquitted
C1110,28,Other,Asian,Fraud,Harrisfurt,1,4,Yes,Yes,Convicted
C1111,68,Other,Asian,Assault,New Kaitlinbury,8,6,No,Yes,Convicted
C1112,34,Female,Black,Fraud,Leestad,4,9,No,No,Acquitted
C1113,25,Male,Black,Cybercrime,West Mallory,4,3,No,No,Dismissed
C1114,52,Male,White,Theft,New Angela,6,8,No,Yes,Plea Bargain
C1115,52,Female,Hispanic,Fraud,South Andrew,5,7,No,No,Dismissed
C1116,50,Male,White,Theft,Chelseyberg,1,4,Yes,Yes,Acquitted
C1117,22,Male,Asian,Cybercrime,New Raymondchester,0,10,No,Yes,Convicted
C1118,59,Other,White,Cybercrime,East Barbarachester,4,3,Yes,No,Plea Bargain
C1119,56,Other,Hispanic,Drug Offense,West Paulmouth,3,7,No,No,Acquitted
C1120,58,Female,Black,Theft,South Brendaberg,2,10,Yes,Yes,Convicted
C1121,45,Female,White,Vandalism,Lake Julian,1,9,No,Yes,Dismissed
C1122,24,Male,Asian,Fraud,East Ryanchester,9,10,No,No,Plea Bargain
C1123,26,Other,Asian,Cybercrime,Hancockton,1,3,Yes,Yes,Convicted
C1124,25,Female,Black,Theft,Odomberg,3,10,No,Yes,Convicted
C1125,29,Female,White,Assault,South Theresa,1,9,No,Yes,Convicted
C1126,51,Female,Hispanic,Drug Offense,New Kathleenfort,3,8,Yes,No,Convicted
C1127,50,Female,Black,Assault,Sanchezfort,2,3,Yes,Yes,Convicted
C1128,65,Female,White,Cybercrime,Osbornemouth,8,8,Yes,Yes,Dismissed
C1129,40,Female,Other,Assault,West Scott,6,4,No,No,Acquitted
C1130,41,Male,Asian,Assault,Amberstad,2,6,Yes,Yes,Plea Bargain
C1131,54,Other,Hispanic,Drug Offense,Port Teresashire,7,10,Yes,Yes,Dismissed
C1132,52,Other,Hispanic,Drug Offense,Coleborough,8,2,No,No,Plea Bargain
C1133,61,Female,Hispanic,Drug Offense,Crystalstad,6,8,No,No,Convicted
C1134,57,Other,Asian,Drug Offense,Fieldsbury,5,9,No,No,Acquitted
C1135,39,Other,White,Assault,West Jasonbury,3,7,No,No,Convicted
C1136,44,Other,Black,Vandalism,Cherylbury,4,8,No,No,Dismissed
C1137,52,Female,White,Vandalism,North Tiffanyburgh,7,7,No,Yes,Dismissed
C1138,18,Female,Black,Drug Offense,Lindahaven,2,10,Yes,Yes,Plea Bargain
C1139,52,Other,Hispanic,Fraud,Scottfurt,1,4,Yes,No,Convicted
C1140,54,Other,White,Theft,West Victorside,2,1,No,Yes,Convicted
C1141,64,Female,Hispanic,Cybercrime,Cainville,6,3,Yes,No,Acquitted
C1142,31,Male,Other,Fraud,Griffithhaven,7,7,Yes,Yes,Acquitted
C1143,20,Other,Hispanic,Cybercrime,Brownville,0,7,Yes,Yes,Convicted
C1144,18,Male,Hispanic,Fraud,North Franklin,6,3,Yes,Yes,Plea Bargain
C1145,22,Other,Black,Fraud,Port Rickville,8,1,No,No,Acquitted
C1146,43,Male,Other,Vandalism,Callahanmouth,2,10,No,No,Convicted
C1147,31,Male,Hispanic,Theft,Andrewburgh,2,9,Yes,No,Convicted
C1148,56,Male,Hispanic,Fraud,Davidtown,7,6,No,Yes,Convicted
C1149,44,Female,Other,Drug Offense,Morganstad,3,7,Yes,No,Dismissed
C1150,26,Male,Other,Cybercrime,Samanthaburgh,7,1,Yes,Yes,Plea Bargain
C1151,32,Male,White,Vandalism,Oconnellland,4,1,No,Yes,Convicted
C1152,32,Male,Black,Cybercrime,Hillburgh,2,4,Yes,No,Convicted
C1153,43,Other,Other,Drug Offense,Jocelynbury,3,7,No,Yes,Convicted
C1154,59,Male,Other,Drug Offense,Williamsport,3,8,No,Yes,Acquitted
C1155,30,Other,Asian,Fraud,West Makaylabury,7,10,No,Yes,Convicted
C1156,68,Male,Other,Drug Offense,East Michaelshire,5,9,No,No,Dismissed
C1157,49,Male,Black,Theft,Michelleshire,6,1,No,No,Dismissed
C1158,56,Female,Hispanic,Drug Offense,Jasonstad,8,4,No,No,Plea Bargain
C1159,66,Other,Hispanic,Fraud,Port Angela,5,4,No,Yes,Convicted
C1160,69,Male,Hispanic,Cybercrime,Robertsonburgh,2,3,No,Yes,Convicted
C1161,49,Other,Hispanic,Drug Offense,East Nicole,2,7,No,No,Convicted
C1162,21,Other,Asian,Vandalism,Benjaminfort,2,1,Yes,Yes,Dismissed
C1163,47,Female,Other,Vandalism,West Brittanyberg,9,9,No,No,Acquitted
C1164,54,Female,Hispanic,Vandalism,Lake Robertburgh,1,8,Yes,No,Acquitted
C1165,40,Female,White,Cybercrime,West Courtney,0,2,No,No,Convicted
C1166,56,Female,Hispanic,Assault,Brianview,9,2,Yes,No,Acquitted
C1167,62,Female,Other,Vandalism,North Evan,0,8,No,Yes,Plea Bargain
C1168,32,Female,Hispanic,Vandalism,Suttonhaven,3,1,No,Yes,Dismissed
C1169,60,Female,Asian,Assault,Morganville,2,7,No,Yes,Convicted
C1170,46,Female,Black,Cybercrime,West Sarah,4,9,Yes,No,Acquitted
C1171,53,Male,Black,Vandalism,Lewischester,8,3,Yes,Yes,Convicted
C1172,30,Other,Other,Fraud,Carterbury,7,7,No,No,Convicted
C1173,49,Female,Black,Cybercrime,Hughesside,8,6,Yes,No,Dismissed
C1174,24,Female,Black,Vandalism,North Angela,4,7,No,No,Dismissed
C1175,68,Other,White,Vandalism,East Melissa,7,7,Yes,Yes,Acquitted
C1176,39,Male,Other,Assault,Tonybury,3,10,Yes,No,Dismissed
C1177,45,Other,Other,Fraud,West Dustin,4,1,Yes,Yes,Plea Bargain
C1178,19,Other,Black,Cybercrime,North Johnchester,2,3,No,Yes,Convicted
C1179,59,Female,Black,Drug Offense,North Dawn,4,10,Yes,Yes,Dismissed
C1180,62,Other,Black,Theft,Andresstad,2,1,Yes,Yes,Acquitted
C1181,23,Other,Asian,Fraud,Collierview,4,5,No,Yes,Acquitted
C1182,45,Female,Hispanic,Drug Offense,East Oliviaton,4,3,No,Yes,Acquitted
C1183,45,Female,Asian,Fraud,Joannatown,5,1,Yes,Yes,Plea Bargain
C1184,61,Female,Other,Drug Offense,Katherinehaven,8,2,Yes,Yes,Dismissed
C1185,61,Female,White,Drug Offense,Lake Lisa,0,10,No,No,Dismissed
C1186,37,Other,Hispanic,Fraud,Boydfort,9,5,No,No,Plea Bargain
C1187,47,Other,White,Assault,New Hollyport,5,3,No,Yes,Dismissed
C1188,28,Male,Other,Fraud,Vargasborough,0,6,No,Yes,Dismissed
C1189,45,Male,Other,Fraud,West Davidport,5,9,No,Yes,Dismissed
C1190,42,Other,White,Drug Offense,Rachelchester,1,6,Yes,Yes,Plea Bargain
C1191,56,Male,White,Theft,North Daniel,7,2,No,Yes,Plea Bargain
C1192,50,Other,White,Drug Offense,Mcdanielborough,2,2,No,No,Acquitted
C1193,18,Male,Other,Vandalism,Port Tamara,9,8,Yes,Yes,Plea Bargain
C1194,44,Female,Black,Fraud,Rebeccastad,5,8,No,Yes,Plea Bargain
C1195,69,Male,White,Cybercrime,South Sean,5,6,No,Yes,Acquitted
C1196,30,Female,Hispanic,Fraud,Beckerhaven,3,10,No,No,Plea Bargain
C1197,58,Female,Other,Assault,West Jameston,4,7,Yes,No,Dismissed
C1198,20,Female,Asian,Cybercrime,New Pamela,1,1,No,Yes,Convicted
C1199,56,Female,Asian,Drug Offense,East Amy,9,9,No,No,Acquitted
C1200,23,Male,Hispanic,Assault,New Jennifer,9,5,No,No,Convicted
C1201,25,Other,Black,Fraud,Tamarashire,7,9,No,No,Convicted
C1202,44,Female,White,Drug Offense,Hayesberg,9,2,Yes,No,Acquitted
C1203,26,Male,Other,Drug Offense,West Kristaborough,6,8,Yes,No,Convicted
C1204,54,Female,White,Vandalism,Petersonburgh,9,7,No,No,Convicted
C1205,50,Male,Other,Vandalism,Marisaport,5,4,No,No,Acquitted
C1206,68,Male,Asian,Theft,New Ronaldfort,6,3,No,No,Acquitted
C1207,59,Male,White,Vandalism,North Jade,0,4,No,Yes,Dismissed
C1208,61,Other,Hispanic,Cybercrime,Joshuaberg,4,4,No,Yes,Acquitted
C1209,41,Male,Black,Drug Offense,Port Michelle,6,10,No,No,Plea Bargain
C1210,32,Male,Hispanic,Vandalism,Jodyville,0,10,No,No,Convicted
C1211,49,Other,Black,Theft,West Kimberlyberg,1,8,Yes,Yes,Acquitted
C1212,49,Other,White,Fraud,East Walter,8,4,No,Yes,Dismissed
C1213,41,Male,White,Cybercrime,Port Shannonshire,2,5,Yes,No,Acquitted
C1214,58,Other,Black,Vandalism,New Taylorview,5,2,Yes,Yes,Convicted
C1215,69,Female,Asian,Drug Offense,New Tanner,6,4,No,No,Acquitted
C1216,66,Female,Other,Fraud,South Brian,8,7,Yes,Yes,Convicted
C1217,66,Other,Hispanic,Drug Offense,East Kelseyview,4,3,Yes,No,Acquitted
C1218,69,Other,Hispanic,Fraud,Owensport,3,1,Yes,Yes,Dismissed
C1219,29,Male,Hispanic,Cybercrime,Kennethchester,1,8,No,No,Plea Bargain
C1220,56,Other,White,Drug Offense,West Richard,2,8,Yes,Yes,Dismissed
C1221,19,Male,Hispanic,Vandalism,Cynthiafurt,4,6,Yes,Yes,Acquitted
C1222,20,Female,Other,Vandalism,Whiteview,1,7,No,No,Convicted
C1223,66,Other,Other,Theft,West Andrewton,3,10,No,No,Dismissed
C1224,54,Male,Black,Fraud,Jensenbury,0,2,Yes,Yes,Plea Bargain
C1225,66,Male,White,Theft,Smithville,3,5,No,Yes,Plea Bargain
C1226,34,Female,Other,Assault,Susanstad,6,7,No,No,Convicted
C1227,66,Other,Asian,Vandalism,Parrishstad,2,9,Yes,Yes,Acquitted
C1228,19,Female,White,Fraud,West Matthew,9,1,Yes,Yes,Dismissed
C1229,19,Male,White,Cybercrime,Ashleyport,7,3,Yes,Yes,Dismissed
C1230,45,Male,Other,Theft,South Johnbury,5,6,No,Yes,Convicted
C1231,40,Other,Asian,Cybercrime,East Erichaven,5,7,Yes,Yes,Dismissed
C1232,54,Male,Black,Cybercrime,Collinstown,0,6,Yes,No,Convicted
C1233,49,Other,Other,Cybercrime,New Peter,4,1,No,Yes,Convicted
C1234,50,Female,Asian,Theft,Gibsonmouth,2,4,No,Yes,Acquitted
C1235,18,Other,White,Assault,Vanessachester,9,6,No,No,Convicted
C1236,36,Other,Asian,Theft,Weberville,0,8,No,No,Dismissed
C1237,19,Male,White,Drug Offense,Kellerside,7,10,Yes,No,Convicted
C1238,61,Male,Other,Vandalism,East Kennethhaven,6,4,Yes,No,Dismissed
C1239,43,Other,Other,Theft,East Susan,6,7,Yes,No,Convicted
C1240,49,Male,Hispanic,Theft,Hoffmanstad,9,3,No,Yes,Acquitted
C1241,23,Male,Hispanic,Assault,East Sharonborough,9,8,Yes,Yes,Acquitted
C1242,49,Male,Hispanic,Drug Offense,Cindyville,9,1,No,Yes,Convicted
C1243,21,Other,Other,Theft,Vanessaburgh,3,4,No,No,Convicted
C1244,28,Male,Black,Vandalism,West Joshuaberg,5,8,No,No,Convicted
C1245,34,Other,Other,Vandalism,West Brandonbury,8,10,Yes,No,Acquitted
C1246,55,Male,Asian,Theft,Port Hannahville,2,4,No,Yes,Plea Bargain
C1247,41,Female,Other,Cybercrime,South Richardmouth,8,2,Yes,Yes,Convicted
C1248,22,Male,Other,Cybercrime,Huntertown,3,2,Yes,Yes,Plea Bargain
C1249,69,Male,White,Drug Offense,Kylefort,4,4,Yes,Yes,Convicted
C1250,51,Other,White,Vandalism,Lewisside,6,4,No,Yes,Dismissed
C1251,23,Other,White,Cybercrime,West Joshua,5,2,Yes,Yes,Acquitted
C1252,39,Male,Other,Vandalism,South Timothyton,9,7,Yes,No,Plea Bargain
C1253,28,Female,Black,Drug Offense,New Janetstad,7,6,No,Yes,Plea Bargain
C1254,65,Male,Asian,Drug Offense,Spencertown,7,3,Yes,Yes,Acquitted
C1255,33,Male,Asian,Cybercrime,New Andrewhaven,7,8,No,Yes,Plea Bargain
C1256,50,Female,Black,Theft,East Teresachester,2,8,Yes,Yes,Convicted
C1257,26,Other,Black,Fraud,Russellmouth,9,1,No,Yes,Plea Bargain
C1258,23,Male,Asian,Assault,Lake Joshuashire,5,3,No,No,Convicted
C1259,33,Other,Hispanic,Fraud,Vincentview,6,5,No,Yes,Plea Bargain
C1260,46,Other,White,Fraud,Williambury,8,2,No,Yes,Dismissed
C1261,20,Female,White,Vandalism,Daystad,9,5,No,No,Plea Bargain
C1262,37,Female,Asian,Drug Offense,West Michael,9,10,Yes,No,Plea Bargain
C1263,53,Other,Black,Vandalism,Petersview,3,3,Yes,Yes,Convicted
C1264,36,Male,Hispanic,Cybercrime,East Williamport,4,9,Yes,Yes,Acquitted
C1265,43,Other,Asian,Assault,Melvinville,7,1,Yes,Yes,Dismissed
C1266,20,Male,White,Cybercrime,Gibsontown,0,4,No,Yes,Acquitted
C1267,36,Male,Other,Theft,Walkerbury,5,10,No,Yes,Convicted
C1268,37,Female,Black,Assault,Port Christophershire,3,6,Yes,No,Dismissed
C1269,49,Male,Other,Vandalism,South Caitlynhaven,4,9,No,No,Plea Bargain
C1270,24,Male,Asian,Vandalism,Michelleberg,4,3,Yes,Yes,Acquitted
C1271,69,Other,White,Cybercrime,Gonzalezbury,1,3,No,Yes,Acquitted
C1272,58,Female,Hispanic,Vandalism,Lake Sarahaven,7,5,No,No,Acquitted
C1273,50,Male,Other,Vandalism,Joshuaport,1,7,Yes,No,Plea Bargain
C1274,57,Male,Hispanic,Fraud,North Michael,3,5,Yes,Yes,Convicted
C1275,56,Female,White,Theft,Lake Stephen,4,8,No,Yes,Plea Bargain
C1276,35,Other,Other,Fraud,West Taylor,0,5,Yes,Yes,Plea Bargain
C1277,57,Female,Hispanic,Vandalism,South Kristenshire,5,7,Yes,Yes,Convicted
C1278,18,Female,Hispanic,Drug Offense,East Jenniferbury,1,6,Yes,Yes,Convicted
C1279,28,Male,Other,Fraud,Codyside,4,10,Yes,Yes,Plea Bargain
C1280,45,Male,White,Vandalism,South Christopher,5,2,No,No,Convicted
C1281,42,Other,Hispanic,Vandalism,New Keithmouth,7,3,No,No,Acquitted
C1282,67,Male,Asian,Theft,Timfort,8,4,No,No,Dismissed
C1283,40,Male,Other,Cybercrime,North Seanberg,5,5,No,No,Convicted
C1284,48,Female,Black,Assault,Jeremyberg,4,9,Yes,Yes,Dismissed
C1285,47,Male,Black,Fraud,North Gregory,3,6,Yes,No,Acquitted
C1286,59,Other,White,Fraud,North Robertchester,1,1,Yes,No,Convicted
C1287,52,Female,Asian,Fraud,Evansland,1,3,No,Yes,Plea Bargain
C1288,24,Other,Hispanic,Vandalism,Lake Eugene,6,7,No,No,Plea Bargain
C1289,33,Female,Black,Theft,Reedshire,4,8,No,Yes,Acquitted
C1290,43,Male,White,Vandalism,Orrside,6,7,No,Yes,Convicted
C1291,65,Female,Asian,Vandalism,North Anita,0,5,Yes,No,Plea Bargain
C1292,69,Female,Asian,Cybercrime,West Shanemouth,0,10,Yes,No,Convicted
C1293,66,Male,White,Drug Offense,East Robert,4,8,Yes,No,Dismissed
C1294,19,Male,White,Theft,Baileyshire,1,9,No,Yes,Plea Bargain
C1295,18,Other,Hispanic,Fraud,Smithfurt,7,7,No,No,Acquitted
C1296,65,Other,White,Assault,Susanberg,2,9,No,Yes,Plea Bargain
C1297,29,Male,Hispanic,Fraud,Medinaside,0,1,No,No,Acquitted
C1298,22,Male,Hispanic,Vandalism,North Jeff,1,9,No,Yes,Acquitted
C1299,54,Male,Other,Theft,Josephchester,9,3,No,No,Dismissed
C1300,49,Female,Asian,Theft,East Meghan,9,6,Yes,No,Dismissed
C1301,26,Female,Asian,Theft,South Darrylland,6,8,No,Yes,Acquitted
C1302,58,Female,Asian,Drug Offense,Mariahaven,5,3,No,No,Plea Bargain
C1303,52,Male,Other,Fraud,Lesterfurt,7,4,No,No,Acquitted
C1304,36,Other,Hispanic,Drug Offense,Gilbertview,6,7,Yes,Yes,Convicted
C1305,65,Male,Hispanic,Cybercrime,East Julie,9,7,Yes,No,Convicted
C1306,33,Female,White,Assault,South Josephfort,7,4,No,No,Plea Bargain
C1307,20,Female,Other,Cybercrime,South Nicolechester,2,9,Yes,Yes,Plea Bargain
C1308,37,Male,White,Vandalism,New Katie,5,3,Yes,No,Dismissed
C1309,41,Male,Other,Drug Offense,Barberville,6,8,Yes,Yes,Convicted
C1310,50,Female,White,Drug Offense,North Maryland,9,8,No,No,Acquitted
C1311,41,Female,Black,Cybercrime,Lake Tracyburgh,0,4,Yes,No,Acquitted
C1312,69,Female,Asian,Vandalism,South Steven,0,7,Yes,Yes,Convicted
C1313,28,Male,Asian,Theft,Shanestad,6,4,Yes,No,Convicted
C1314,66,Female,Hispanic,Vandalism,Taylorbury,2,1,No,Yes,Dismissed
C1315,25,Female,Black,Fraud,Kathrynhaven,2,1,Yes,Yes,Convicted
C1316,53,Other,Asian,Cybercrime,Torresborough,4,1,No,No,Dismissed
C1317,55,Male,Hispanic,Vandalism,South Dustin,5,2,Yes,Yes,Plea Bargain
C1318,57,Other,Black,Theft,New Daniel,1,6,No,No,Plea Bargain
C1319,37,Other,Asian,Vandalism,Tammyland,2,10,No,Yes,Convicted
C1320,52,Female,White,Drug Offense,South Adrianborough,5,5,No,No,Convicted
C1321,65,Male,Other,Assault,Brandonport,2,2,No,No,Convicted
C1322,42,Female,Black,Drug Offense,South Joseph,4,8,No,Yes,Convicted
C1323,52,Male,Hispanic,Assault,Andreahaven,8,9,Yes,No,Acquitted
C1324,42,Other,Black,Vandalism,Walshbury,2,7,Yes,No,Acquitted
C1325,46,Male,Hispanic,Fraud,Garymouth,5,9,Yes,No,Plea Bargain
C1326,35,Female,Black,Vandalism,Cynthiaburgh,4,4,No,Yes,Acquitted
C1327,63,Female,Hispanic,Theft,Jennifermouth,4,7,No,No,Convicted
C1328,35,Female,Asian,Vandalism,Rodriguezberg,5,5,No,No,Dismissed
C1329,19,Male,White,Assault,Alexandriaport,5,5,Yes,Yes,Plea Bargain
C1330,52,Other,Asian,Drug Offense,Weaverfurt,0,3,No,No,Convicted
C1331,33,Other,White,Fraud,Kathyton,8,9,No,Yes,Acquitted
C1332,58,Male,Asian,Vandalism,Smithville,4,10,No,Yes,Dismissed
C1333,53,Female,Asian,Vandalism,Gordonmouth,0,5,No,No,Dismissed
C1334,50,Other,Black,Drug Offense,New Annettefort,7,6,Yes,Yes,Acquitted
